id,subject,body,intent,technique,target,spoofed_sender,label,predicted_label,auto_response
phish-0001,Urgent: Account Verification Required,Your account will be locked in 24 hours. Verify now at: https://secure-login-verify.com,Credential Harvesting,Link Spoofing with Urgency,Banking,security@bankofamerica-alert.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0002,Invoice #3921 Overdue,Your payment is overdue. Download invoice here: [attachment: invoice.exe],Malware Delivery,Attachment with Malicious Payload,SMBs / Finance,billing@vendorpay.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0003,Unusual Activity Detected,Suspicious login from Russia. Reset password now: https://g00gle-security.com,Credential Harvesting,Homoglyph Link Spoofing,Google,no-reply@g00gle.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0004,Tax Refund Processing Error,Your refund is delayed. Submit details at: https://irs-gov-refund.org,Credential Harvesting,Fake Government Alert,Taxpayers,service@irs-notify.org,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0005,Your Package Awaits!,Delivery issue detected. Update address via: [attachment: shipping_update.zip],Malware Delivery,Attachment with Malicious Payload,E-commerce,support@fedex-delivery.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0006,Security Alert: Account Compromised,Your social media account was accessed from China. Secure it: https://fb-security.com,Credential Harvesting,Urgency & Fake Security Alert,Social Media,alert@facebook-notify.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0007,Exclusive Offer: Free Gift Card,Claim your $200 Amazon gift card: https://amaz0n-rewards.com,Credential Harvesting,Fake Reward with Homoglyph,Retail,rewards@amazon-offer.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0008,Healthcare Plan Update,Your insurance plan needs renewal. Confirm details: https://healthcare-login.net,Credential Harvesting,Fake Service Update,Healthcare,support@bluecross-plan.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0009,CEO Request: Urgent Wire Transfer,"Please process a $10,000 transfer by EOD. Details in attached PDF.",Financial Scam,Business Email Compromise,Corporate,ceo@company-internal.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0010,Your Cloud Storage is Full,Free up space or upgrade now: https://dropb0x-upgrade.com,Credential Harvesting,Homoglyph Link Spoofing,Cloud Storage,no-reply@dropbox-service.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
